"sub","experiment","cj_category","v","a","a_slope","ter","a2","starting_point_confidence","postdriftmod","a2_slope_upper","a2_slope_lower","ter2"
1,1,2,0.586905034651736,1.50900401883342,0,0.134498178172402,8.42422561800958,0.417932472809032,0.369555973447859,3.12067569078363,2.96330284007354,-0.670457819744923
2,1,3,0.405802045909162,1.15135343737078,0,0.468680332280211,8.20085962267527,0.598197196924479,0.0789934443309903,9.22966848611298,7.40658731784755,-0.153685580328406
3,1,3,0.956292891514127,1.25548507718972,0,0.0109807340660015,11.518949109468,0.515230349963531,3.48016888265749,7.85711663893716,8.03539755785854,-0.24103060678258
4,1,1,0.774920813996548,1.71060901085546,0,0.18721156711091,2.97086428020275,0.143509137677029,0.911560660460964,2.32528585854429,3.81895557024791,0.106431737594891
5,1,1,0.555297990663266,1.38230207723607,0,0.207569348397034,1.31237472733014,0.363579373095388,2.41566471406259,1.50121505170258,1.51573752460027,0.0319662086773455
6,1,3,0.554902699803044,1.58163248626138,0,0.204953053551244,8.55047648897103,0.493758287855716,4.62619505168438,5.03143934454887,5.13379150337971,-0.236150658829182
7,1,4,1.18353243347895,1.28704655362964,0,0.17664308607617,2.09280984710862,0.762205298771387,0.740904907300119,1.34353048528698,0.2901822360731,0.171766110225657
8,1,1,1.08557994551154,1.19547772135627,0,0.237909959093033,11.9064055319734,0.311393198085693,2.76048702508025,14.1186396943544,4.41204919670322,-0.372206184449077
9,1,4,0.73861916991174,1.4485373946992,0,0.131780710743994,3.09093907506664,0.852972474054336,1.0706831985428,5.43076860214353,4.03753773698309,0.040390662395112
10,1,4,1.1945731097747,1.31132929695777,0,0.0562450149049005,6.77156416377916,0.621454734860052,4.43666715665763,0.843155286848823,3.9181454025991,-0.134796203108932
11,1,1,1.00638302616171,1.2017328068232,0,0.288308290855075,5.59574918446095,0.0569185738491206,1.73935021775239,9.27595465818157,4.78861457721651,0.189161063654369
12,1,1,1.44072032659233,1.40040413051266,0,0.117681710037011,4.21600009159105,0.185325402558266,0.559396935228218,2.44324875588513,5.09388959476562,0.07981180252306
13,1,3,0.859047083058711,1.39941795034452,0,0.210790177900001,4.94377208938135,0.530466587034207,2.34275155102929,2.14337213901096,2.33540828794087,-0.0484525503418041
14,1,1,0.80829951092562,1.18586960448342,0,0.206169721180281,1.03594227145515,0.285684359730256,0.175001872703433,4.22331886004068,0.595332352272095,0.149336244814095
15,1,2,0.439625389330074,1.05787089368904,0,0.200068244016944,4.7720658581241,0.38438835433849,2.88991887159796,3.82753484472955,1.38801216753651,-0.225847683043938
16,1,1,0.459527477488854,1.54440529637856,0,0.229696575492639,1.36327084145544,0.37174538083314,2.09000160187806,1.57867628874289,0.0673304685279469,0.103434425650731
17,1,1,0.398980061185903,1.27242376964663,0,0.306441429356706,1.40673333211184,0.162019454401816,1.77666322703631,3.83854945084494,0.70786719957394,0.100154762379806
18,1,2,0.392816647789367,1.08121369956844,0,0.255823651494228,2.18591799136929,0.423636972848801,0.512384637650847,1.99795392652057,3.13126539092463,0.00336940550432906
19,1,2,0.307176926008308,0.795854212126586,0,5.93475565181676e-05,7.20398162309622,0.472555064251469,8.31386406188653,6.04472840770002,5.48025507423574,-0.32659800676243
20,1,3,1.08042767697688,1.33640463087354,0,0.302442951502169,6.96456808619723,0.534188041001055,2.24522815868922,2.89307443049658,4.05866361204249,-0.249918572047257
21,1,3,0.505174795047906,1.2655204371077,0,0.201059703760168,8.46231991636225,0.525665126155682,8.14981809107907,4.8281230005448,6.01753597474003,-0.172826452637
22,1,4,0.426043680248467,1.22150143150731,0,0.00869236326247694,1.87666664694667,0.594261606060043,10.1222299034205,1.17759171436746,4.63000559642113,0.0551996918477347
23,1,3,0.548821957895563,1.3395489943089,0,0.107607880176248,7.72155370170467,0.365553784582959,4.50244192499458,6.08278968084998,1.61105265860051,-0.331849755991619
24,1,2,0.572765740063359,1.42227386485473,0,0.406841662345194,6.1319759659816,0.43264750798676,0.53797232802026,0.908264673925056,4.28191370791983,-0.064566463579994
25,1,3,0.485465111663603,1.10754212720537,0,0.115325853586802,6.36659803222303,0.471697624174798,4.59325851809727,4.91186781847123,4.01553889823027,-0.195532617712629
26,1,2,1.1160840099663,1.49211613679144,0,0.154432540904077,3.42402436996181,0.459196420318359,0.159948626136136,4.67914479294902,5.55547855249423,-0.00457912248027019
27,1,2,0.380637216575611,1.26193293350313,0,0.233237133303103,6.08102820299573,0.517514265389741,7.979245461568,5.79719859534831,7.31067695988157,-0.1146359553509
28,1,2,0.37399812785678,1.10297838777741,0,0.0253775597838026,6.76356396682061,0.352618791241998,0.754838593472707,10.105107721828,7.91992893324236,-0.183107520830109
29,1,3,0.537472060442295,1.45923139224775,0,0.0226068518715935,13.0853028076494,0.670360973692174,4.360192234407,4.14637812981716,12.4491799143505,-0.332289874642128
30,1,1,0.755135831370482,1.13220925242514,0,0.204708201463483,10.0317583766897,0.27122525926195,0.0438426213302384,13.3859500695816,4.37876019025469,-0.333840297416568
31,1,3,0.9082975637092,1.26820097813273,0,0.201514263298629,4.11885671352945,0.517694380199859,3.1401566855937,2.51117547580337,3.48402781326054,0.0293667774828636
32,1,3,0.543307088290498,1.34182176234093,0,0.181944688413633,9.36185964014361,0.471552082276597,4.13537631140414,4.8326431566226,3.89474290451766,-0.290536743571062
33,1,1,1.09146121265359,1.1736280353371,0,0.00132562261349931,7.34811498236459,0.132736838707016,0.604205089029416,6.52156450840293,6.72486521542697,-0.00526875562880713
34,1,1,0.702887359886529,1.33373008549241,0,0.0934751571310808,0.870772098108831,0.391636988272346,0.847801057386381,0.44146267173801,0.288482979590999,0.0975786853087856
35,1,1,1.10732938926352,1.57054709197137,0,0.119792413530834,2.21530319194284,0.397578806018187,0.190552265546283,1.16316241722621,0.0931245997379877,-0.126285295793414
36,1,3,1.29178556765737,1.48832392723373,0,0.0844612659985916,4.46468323800307,0.476395445080613,1.76151249007199,2.92372583031096,8.31809960668867,-0.0993716294975667
37,1,3,0.269983650658421,1.41791890801843,0,0.147818500549117,9.15680608786466,0.510823829489422,6.767264196858,3.72542058500534,4.92557468512134,-0.371267180581091
38,1,2,1.03217016326251,1.29328485452879,0,0.649941099093306,6.73991998050263,0.291570253159641,1.34057019806111,9.03859368109931,2.49412969734844,-0.155376099098628
39,1,3,0.983007771300118,1.14301220694904,0,0.184686600080559,6.06865303187128,0.355696813243758,2.82689267988838,6.11739500635411,0.939448593206063,-0.172251242434696
40,1,3,1.3939763702607,1.23480760606299,0,0.132779912571606,1.37504927063023,0.297706893285396,0.0371570139255529,2.60533295789561,0.0766440068435887,0.129253704540148
41,1,4,0.944946285402956,1.42911445663179,0,0.434907455469851,8.14213536695807,0.751300003189749,0.764857308529034,0.0780877345248757,12.9913901046,-0.281537135297631
42,1,3,0.974566254787538,1.42838448574962,0,0.025844602050051,2.62418857841075,0.372715011591398,2.22107151480079,4.60982030230438,1.09680772721905,0.0201720414786249
43,1,3,0.622380551588449,1.00725666727527,0,0.0923938379892908,2.81687720501696,0.427109384857482,3.71512213807782,4.67601526430565,3.07042229688471,0.00915594880670176
44,1,3,0.329095613954426,1.22146470284909,0,0.105495887344596,8.98481172138589,0.649679510888587,0.0873512565158308,7.32373890671763,3.59294060066908,-0.268572936700526
45,1,3,0.475920918671392,1.22202944635101,0,0.540736395192671,3.29587354567752,0.402793695552387,4.70640444122674,4.41555555451451,0.985432829462883,0.0562328935046523
46,1,3,0.753335128148975,0.954825770711713,0,0.169745459698854,10.5270802347527,0.500164121216025,2.10507549180544,6.72836635438026,6.86577261078877,-0.324482477147605
47,1,3,1.69291518217503,1.31330803072823,0,0.151130898178229,0.473109285440194,0.424459004587442,0.406903036634402,0.171460154659018,0.185613139161798,0.19120304831745
48,1,2,0.622975016134915,1.7118135125752,0,0.236894669518992,4.98313761811576,0.427318885064266,0.612440023273845,0.243820643671522,8.19717490842285,-0.0308587009337671
49,1,4,1.2975422774523,1.02452501195487,0,0.0904552419095096,1.63957083091589,0.56187959889274,2.82401781276156,3.0210428937193,5.05214903472423,0.142041510806697
50,1,3,0.781845778940057,1.2223262496038,0,0.241547660282001,8.92433664019615,0.48961755971446,2.37145657275996,4.70118656887527,4.15985893795089,-0.360213729960492
51,1,3,0.954367394694209,1.35279588878424,0,0.0775221103523458,2.76223243873793,0.644112477620542,1.41836102218624,3.70354651156119,13.8977185015667,-0.0687224449925416
52,1,3,0.59591841191689,1.26058094258613,0,0.446589862538486,11.0395403886839,0.522107530680186,2.96011663566419,4.0260175438442,4.16519984883673,-0.696745820319175
53,1,1,0.90217960636426,1.54125136356911,0,0.206131911607876,2.6116787959131,0.190779701042445,1.60820368117386,0.348942489716287,4.04038095848353,0.146379762055302
54,1,3,0.560742083294497,1.34254947970542,0,0.101842865232138,4.7498341929643,0.567734036981147,0.380308607539666,9.28365975097306,0.330937506801567,-0.0805116153693373
55,1,3,0.448990644793697,1.44041229896852,0,0.267271360552847,10.9132195463567,0.494188977897587,4.9603538355583,4.5630033363945,4.74086271092482,-0.45707065269277
56,1,2,0.398232174042397,1.25696789911028,0,0.085411260046877,7.47142361381102,0.480462484029305,0.00908832298591733,7.43098568586276,6.94761735874683,-0.243540014028549
57,1,3,1.10239295223485,0.909041991927343,0,0.00602546931241034,6.66626251943319,0.645027213189072,0.190878084477137,13.5976883095294,7.81868108829848,-0.112853698113121
58,1,1,0.998096229638046,1.11925707602085,0,0.114126058898817,2.18351543508922,0.191552562697496,0.786219887546805,2.65071934890775,3.49891038335886,0.134701156651899
59,1,3,0.929131581542421,1.51628309743086,0,0.0462202537326036,5.71830283284117,0.532518382470319,3.27510676102316,7.77920370194491,8.84651345193025,-0.089025431835615
60,1,4,0.800144909624371,1.53810184986519,0,0.222290547979607,2.53659001636186,0.781847721537819,0.721101371632198,2.37778287259341,0.102150332684247,0.200227101530117
61,1,2,0.614744483009264,1.24163614055903,0,0.33802963210443,2.56325329425198,0.350319112579978,1.53140755137429,6.77524316317525,2.39183048036522,-0.0145156459054092
62,1,2,1.19026216341216,1.3504472305152,0,0.178254627118074,2.05788644851407,0.338025512173772,0.570755494991317,3.02984663359259,1.08453488089257,0.121179966504222
63,1,1,0.967491874471601,1.45032545723267,0,0.244986523862071,1.78518211651399,0.208237885469565,0.328939844905197,0.245963728690193,1.57245779497759,0.13207870537571
64,1,1,0.382257246585938,1.22469722680192,0,0.0693535237752506,6.25904094711783,0.177872794787626,0.29009400417025,5.13806463284829,4.91564513963,-0.0605097894577218
65,1,1,1.36808552242058,1.09887252491184,0,0.262461485829518,14.215203760875,0.181369899613716,0.609945695083274,9.44261824312982,8.9485009916766,-0.119117054655744
66,1,3,1.01022226782751,1.2047801366473,0,0.175309241069833,2.20291934760771,0.370180279517129,0.789871959685232,3.47588428490861,1.09538434808772,0.0446275515247002
67,1,1,0.503910766765731,1.40706440426308,0,0.103339647164303,1.0239195247205,0.273040513758245,2.27934638794379,0.73643272749091,0.2481973861935,0.11812338257016
68,1,1,0.753030860380254,0.972731356348262,0,0.0987356440323917,1.6401858245139,0.344981310268795,0.446317703615463,4.22857194149675,0.868065943063089,0.0811918328936136
69,1,2,0.356385305340965,1.540352240348,0,0.375459900411099,0.92502885058869,0.495970470476943,0.391651915728949,0.331640453319912,2.16093056968281,0.127464284602376
70,1,2,0.702298622930454,1.70492752779203,0,0.216544102250054,4.25752706095678,0.481992247557185,0.0760343743831666,0.00541911418014121,3.30504099996363,-0.344794997211154
71,1,2,0.664850991693242,1.42256661474635,0,0.295025591656889,9.75643510994717,0.352745815252353,3.49983473075554,8.69362574707207,3.3645725915571,-0.401396745585637
72,1,4,0.165758600537138,1.50798991266796,0,0.102589445910422,13.3143164696272,0.888567176233709,0.909674394260511,8.25666055585158,6.80118786278091,0.0188034346470046
73,1,3,1.05160997270745,1.48094300173206,0,0.237442700409029,7.17481131806222,0.482131539789573,1.4644862690513,5.33128069091202,4.53174297304308,-0.151717734815401
74,1,4,0.865040692095002,1.218476045002,0,0.0241090981021236,4.21667688691168,0.742379339237984,1.15351673291028,4.17077799223377,4.71431965065883,-0.0500563590358359
75,1,1,0.558807752063493,1.1782399444434,0,0.00388536014858461,1.84467130407037,0.245767066748691,0.474830859983948,6.24254294804812,2.84085678669408,0.0867205715478185
