"sub","experiment","cj_category","v","a","a_slope","ter","a2","starting_point_confidence","postdriftmod","a2_slope_upper","a2_slope_lower","ter2"
1,2,2,0.372977018206293,1.1879673810131,0,0.185150404990492,10.2692560208898,0.489761676349013,3.47853082685855,2.67652385884049,2.64309519625305,-0.86884747668905
1,1,1,0.0661442262072428,0.888881602148819,0,0.239069048126074,6.03454404959394,0.152521653751173,3.349069809696,4.92244483291237,6.36179614015235,0.221922743155629
2,2,3,1.85913120504834,1.51577605206898,0,0.432578843893386,1.84461520336592,0.201598608110693,0.111281013056893,1.22074651796804,0.120572533680413,0.212470832480345
2,1,2,0.78990304194749,1.52920447330291,0,0.683727771476211,7.67291530370137,0.435970693905394,0.144056438968791,2.42945790295284,2.27087774216822,-0.691043021889483
3,2,3,1.34910506239416,1.16927092727362,0,0.188222020380763,1.58931156675057,0.426338627070488,0.0669802930178019,1.34751519736513,0.0458889805338578,0.158401035388312
3,1,4,0.668938159716583,1.36147412650422,0,0.189795021762493,2.93039420799313,0.519707616372034,0.785499749472365,1.53675219525856,2.42465514473846,0.0294080976655367
4,2,1,0.0255363373507119,1.37421746838483,0,0.403071620946886,3.20425645940392,0.232835817325845,1.30303382957553,1.77092157081256,0.732084721674436,0.146412921219338
4,1,1,1.91595260054525,1.19002483806291,0,0.327735479108609,3.51861251346084,0.140847098068088,0.949700391655707,0.281797735325908,2.23726639690016,0.102485358865198
5,2,2,0.233901058425933,0.95206010957897,0,0.266223721711464,1.91947194486042,0.340409389058839,11.6006434630796,5.00092686324172,0.230831429640869,0.175615505613601
5,1,3,0.216068456083577,1.15424417772693,0,0.210426165851387,7.12992696884822,0.505171092383033,11.4905479511502,5.12759159199677,5.10681137066657,-0.12858991211322
6,2,1,0.0863577161173162,0.970841389359505,0,0.00192515316604625,3.76946864949833,0.0517472410315616,5.3556454414083,0.563064283054242,0.799370837004878,0.14751251247185
6,1,3,0.722276550084525,1.33833476251763,0,0.134300604831109,0.985811538974568,0.596038862560145,0.96373166877954,0.547702179272727,4.95384602129565,0.124055216373039
7,2,4,0.426145679288992,1.97019412575891,0,0.126476494742302,4.15300447570672,0.546327183181341,2.39022601998646,1.11448407197967,0.512731459081732,-0.23633803376812
7,1,1,0.813345634723649,1.67379474300368,0,0.234105461464954,6.78174057032407,0.20159534806991,0.151027284654542,2.24569264151458,3.2181747496934,0.0354418043362856
8,2,1,1.03842095364187,1.3445575681138,0,0.0035832005710938,3.21153489922015,0.189387938828684,1.4799465169931,2.14875848513603,3.42422985820977,0.192069077368472
8,1,2,1.60727620528611,1.18860424593838,0,0.00463739070789555,2.92572278070018,0.393077343964303,0.739501150589253,1.95753649061217,5.79999466892358,0.184945533991872
